dataset,name,datatype,nseq,mean_nsites
Drosophila,EMGT00050000000360,NT,9,6010
Drosophila,EMGT00050000000607,NT,11,2145.818181818182
Drosophila,EMGT00050000001951,NT,10,1802.1
Drosophila,EMGT00050000000649,NT,10,4196.1
Drosophila,EMGT00050000004652,NT,8,3242.625
Drosophila,EMGT00050000008969,NT,10,769.5
Drosophila,EMGT00050000005137,NT,11,1101.8181818181818
Drosophila,EMGT00050000000079,NT,22,1438.909090909091
Drosophila,EMGT00050000009358,NT,20,1125.75
Drosophila,EMGT00050000002524,NT,22,769.2272727272727
Drosophila,EMGT00050000001666,NT,11,4216.363636363636
Drosophila,EMGT00050000004766,NT,11,3120.2727272727275
Drosophila,EMGT00050000000580,NT,11,1897.909090909091
Drosophila,EMGT00050000001018,NT,11,2306.4545454545455
Drosophila,EMGT00050000000254,NT,11,834.2727272727273
Drosophila,EMGT00050000003545,NT,9,1675
Drosophila,EMGT00050000003022,NT,12,1458.25
Drosophila,EMGT00050000001531,NT,11,1684.3636363636363
Drosophila,EMGT00050000003369,NT,33,461.6363636363636
Drosophila,EMGT00050000000478,NT,9,4949.333333333333
Drosophila,EMGT00050000001487,NT,12,1372.75
Drosophila,EMGT00050000000685,NT,41,1512.1463414634147
Drosophila,EMGT00050000001634,NT,11,1161
Drosophila,EMGT00050000002125,NT,10,3621.9
Drosophila,EMGT00050000007296,NT,100,780.36
Drosophila,EMGT00050000004587,NT,12,4109.75
Drosophila,EMGT00050000003517,NT,35,617.7428571428571
Drosophila,EMGT00050000000761,NT,12,2938.75
Drosophila,EMGT00050000001563,NT,12,1931.25
Drosophila,EMGT00050000009440,NT,12,2940.25
Drosophila,EMGT00050000001383,NT,11,1728
Drosophila,EMGT00050000002308,NT,11,2314.090909090909
Drosophila,EMGT00050000001130,NT,12,3567
Drosophila,EMGT00050000000332,NT,11,8353.09090909091
Drosophila,EMGT00050000001457,NT,11,5883.818181818182
Drosophila,EMGT00050000003939,NT,9,2715
Drosophila,EMGT00050000002011,NT,11,937.3636363636364
Drosophila,EMGT00050000001700,NT,12,4464.5
Drosophila,EMGT00050000004329,NT,15,968.2
Drosophila,EMGT00050000001229,NT,38,657.3157894736842
Drosophila,EMGT00050000002193,NT,11,1056
Drosophila,EMGT00050000002647,NT,12,2838.5
Drosophila,EMGT00050000000354,NT,12,3818
Drosophila,EMGT00050000008913,NT,33,1060.3636363636363
Drosophila,EMGT00050000002077,NT,12,3144
Drosophila,EMGT00050000009322,NT,60,1175.95
Drosophila,EMGT00050000002039,NT,12,2905.5
Drosophila,EMGT00050000000904,NT,12,3335
Drosophila,EMGT00050000007524,NT,12,1070.25
Drosophila,EMGT00050000009216,NT,19,3730.7368421052633
Drosophila,EMGT00050000002970,NT,11,2991
Drosophila,EMGT00050000001335,NT,10,2406.9
Drosophila,EMGT00050000003016,NT,12,1976.25
Drosophila,EMGT00050000001505,NT,12,2483
Drosophila,EMGT00050000001062,NT,8,728.625
Drosophila,EMGT00050000007710,NT,12,1361.25
Drosophila,EMGT00050000000499,NT,9,1098.6666666666667
Drosophila,EMGT00050000002610,NT,10,2896.5
Drosophila,EMGT00050000000303,NT,10,5219.1
Drosophila,EMGT00050000000664,NT,6,4648.5
Drosophila,EMGT00050000001731,NT,8,4834.875
Drosophila,EMGT00050000000054,NT,11,1482
Drosophila,EMGT00050000009375,NT,23,1311.2608695652175
Drosophila,EMGT00050000007447,NT,10,1555.2
Drosophila,EMGT00050000003091,NT,12,2308.25
Drosophila,EMGT00050000002293,NT,12,1886.25
Drosophila,EMGT00050000000449,NT,11,4449.272727272727
Drosophila,EMGT00050000008524,NT,15,1266.2
Drosophila,EMGT00050000002114,NT,10,1501.5
Drosophila,EMGT00050000001605,NT,11,1876.909090909091
Drosophila,EMGT00050000002473,NT,9,2678.6666666666665
Drosophila,EMGT00050000000160,NT,22,1928.0454545454545
Drosophila,EMGT00050000001362,NT,12,2454
Drosophila,EMGT00050000001552,NT,11,3576.2727272727275
Drosophila,EMGT00050000004135,NT,11,1658.1818181818182
Drosophila,EMGT00050000000148,NT,21,878.5714285714286
Drosophila,EMGT00050000004763,NT,10,6254.1
Drosophila,EMGT00050000001304,NT,9,5931.333333333333
Drosophila,EMGT00050000001663,NT,12,1615.25
Drosophila,EMGT00050000009269,NT,13,3614.3076923076924
Drosophila,EMGT00050000004687,NT,12,1480.5
Drosophila,EMGT00050000009417,NT,8,623.625
Drosophila,EMGT00050000005351,NT,11,1837.090909090909
Drosophila,EMGT00050000001787,NT,47,2422.595744680851
Drosophila,EMGT00050000003920,NT,7,5390.142857142857
Drosophila,EMGT00050000001129,NT,12,1447.75
Drosophila,EMGT00050000000602,NT,10,3156.9
Drosophila,EMGT00050000000365,NT,22,1256.7272727272727
Drosophila,EMGT00050000002046,NT,11,3671.7272727272725
Drosophila,EMGT00050000002008,NT,12,2128.25
Drosophila,EMGT00050000001452,NT,12,1857
Drosophila,EMGT00050000001948,NT,9,1474.3333333333333
Drosophila,EMGT00050000002624,NT,10,834
Drosophila,EMGT00050000001386,NT,9,3580.6666666666665
Drosophila,EMGT00050000000184,NT,48,407
Drosophila,EMGT00050000009016,NT,10,3169.8
Drosophila,EMGT00050000003972,NT,13,1953.2307692307693
Drosophila,EMGT00050000000853,NT,11,3334.090909090909
